season,fantasy_player_id,fantasy_player_name,team,targets,receptions,rec_yards,rec_td,air_yards,yac,adot,ypr,ypt,yac_per_rec,team_targets,target_share,wr_rush_att,wr_rush_yards,wr_rush_td,position,fp,games
1999,00-0017697,T.Wilkins,IND,60,39,540,4,0,0,0,13.84615385,9,0,505,0.118811881,1,2,0,WR,117.2000019,13
1999,00-0017847,K.Williams,TB,33,21,176,0,0,0,0,8.380952381,5.333333333,0,413,0.079903148,0,0,0,WR,38.60000074,10
1999,00-0017860,K.Williams,BUF,48,29,328,0,0,25,0,11.31034483,6.833333333,0.862068966,474,0.101265823,1,13,0,WR,63.10000157,11
2000,00-0000145,D.Alexander,KC,130,70,1300,10,0,0,0,18.57142857,10,0,511,0.254403131,3,45,0,WR,264.5000032,14
2000,00-0001477,M.Booker,CHI,62,40,411,1,0,0,0,10.275,6.629032258,0,496,0.125,2,-1,0,WR,87.00000089,13
2000,00-0001532,D.Boston,ARI,129,70,1144,7,0,0,0,16.34285714,8.868217054,0,512,0.251953125,2,7,0,WR,227.1000025,15
2000,00-0001842,M.Brooks,CHI,49,26,216,0,0,0,0,8.307692308,4.408163265,0,496,0.098790323,0,0,0,WR,47.60000104,11
2000,00-0002058,T.Brown,OAK,128,73,1110,10,0,0,0,15.20547945,8.671875,0,0,0,3,12,0,WR,245.2000033,15
2000,00-0002068,T.Brown,NE,107,75,842,4,0,0,0,11.22666667,7.869158879,0,517,0.20696325,6,46,0,WR,187.8000014,15
2000,00-0002099,I.Bruce,STL,130,85,1428,9,0,0,0,16.8,10.98461538,0,0,0,1,11,0,WR,282.9000027,15
2000,00-0002469,I.Byrd,CAR,43,22,241,2,0,0,0,10.95454545,5.604651163,0,518,0.083011583,0,0,0,WR,58.10000002,8
2000,00-0002721,C.Carter,MIN,152,92,1186,9,0,0,0,12.89130435,7.802631579,0,458,0.331877729,0,0,0,WR,264.6000017,15
2000,00-0002962,W.Chrebet,NYJ,134,64,840,8,0,0,0,13.125,6.268656716,0,556,0.241007194,3,-3,0,WR,195.7000003,15
2000,00-0003378,A.Connell,WAS,96,38,756,3,0,0,0,19.89473684,7.875,0,514,0.186770428,0,0,0,WR,131.6000025,12
2000,00-0003396,C.Conway,SD,89,47,666,5,0,0,0,14.17021277,7.483146067,0,0,0,3,31,0,WR,146.7000021,12
2000,00-0003700,G.Crowell,DET,65,32,411,3,0,0,0,12.84375,6.323076923,0,456,0.14254386,1,12,0,WR,92.30000192,8
2000,00-0004077,S.Dawkins,SEA,99,61,708,5,0,0,0,11.60655738,7.151515152,0,470,0.210638298,0,0,0,WR,161.8000021,14
2000,00-0004541,D.Driver,GB,40,19,299,1,0,0,0,15.73684211,7.475,0,557,0.071813285,0,0,0,WR,56.90000069,11
2000,00-0004673,T.Dwight,ATL,53,26,406,3,0,0,0,15.61538462,7.660377358,0,471,0.112526539,5,8,0,WR,85.40000098,11
2000,00-0004780,T.Edwards,PIT,43,18,215,0,0,0,0,11.94444444,5,0,397,0.108312343,3,4,0,WR,39.90000044,10
2000,00-0005562,A.Freeman,GB,121,62,912,9,0,0,0,14.70967742,7.537190083,0,557,0.217235189,2,5,0,WR,207.7000022,15
2000,00-0005616,I.Fryar,WAS,71,38,523,4,0,0,0,13.76315789,7.366197183,0,514,0.138132296,0,0,0,WR,114.3000007,13
2000,00-0005668,O.Gadsden,MIA,75,46,710,6,0,0,0,15.43478261,9.466666667,0,348,0.215517241,0,0,0,WR,153.0000021,14
